influencer_id,platform,date,url,caption,reach,likes,comments
505,Twitter,2025-07-08,https://love.com/,Floor two enter feeling message manager.,178916,11090,3466
144,Twitter,2025-04-23,http://stone.com/,World class wife.,190385,2266,188
842,Twitter,2025-04-08,https://taylor-snyder.com/,Life minute ability foreign.,39714,19455,964
735,Facebook,2025-03-12,http://www.heath.com/,Reveal computer tough.,83278,12413,1370
761,YouTube,2025-06-20,http://thompson.com/,Project far discuss wrong public investment.,152041,2998,1258
739,Instagram,2025-03-24,http://www.rose-miller.biz/,Member doctor sense since green civil air.,21343,316,3657
420,YouTube,2025-04-10,http://www.chen-lee.com/,Security century economy accept.,182813,13517,3983
110,Facebook,2025-06-09,http://harper.info/,Two blood across difference mission head.,201734,9056,3872
261,YouTube,2025-05-05,https://www.reeves.com/,Glass stay board believe.,285113,13682,170
626,Instagram,2025-02-27,https://www.fritz.net/,By want mouth individual movie city.,92015,5830,3692
201,YouTube,2025-05-21,http://martinez-mclean.org/,Production color stuff hard sense yet participant.,209244,18312,4804
193,Facebook,2025-03-19,http://rivera-rodriguez.biz/,Structure amount method.,103240,15242,1997
124,Twitter,2025-02-28,https://www.stephens.org/,Itself face man miss pick control collection.,66260,18709,1659
953,Instagram,2025-06-23,http://www.wallace-barron.com/,Game professor nature adult ten.,166628,4586,2425
873,YouTube,2025-02-20,http://garner.com/,Everyone data indeed list religious.,169888,6629,4674
403,Facebook,2025-04-09,http://gray-chapman.com/,Tree here particularly their ten.,21582,6195,3219
221,Instagram,2025-02-05,http://vaughn.info/,Environment yet manage me ground feeling night north.,147342,12609,427
469,Instagram,2025-03-11,https://www.hubbard-bishop.biz/,Capital style avoid of.,221986,9585,2744
845,YouTube,2025-04-17,http://www.garcia-lewis.net/,Represent rule Democrat guy southern civil.,50507,18249,74
801,Facebook,2025-04-05,https://white-fox.info/,Common seem have employee school.,265599,16175,851
196,Facebook,2025-05-14,http://www.wilkinson.com/,Black everyone let relationship including clear piece.,129592,1483,3547
734,Instagram,2025-04-22,http://www.benson-kirby.com/,Magazine left city election federal.,199816,9995,3415
347,Instagram,2025-04-19,https://salazar-preston.com/,Successful series teacher industry management.,241929,19276,4070
111,Twitter,2025-05-30,https://www.miller-martin.com/,Significant would hand.,163664,10058,4750
776,YouTube,2025-02-14,http://www.roy-dominguez.com/,Represent marriage become responsibility participant.,118319,16290,4891
425,Twitter,2025-04-15,http://romero-porter.com/,Owner near instead step air animal someone.,280303,18426,4550
48,Instagram,2025-03-09,http://salinas-fields.com/,Case gun father pick allow.,163501,15286,2392
949,Instagram,2025-01-25,https://tate.org/,Pass deal today including.,96757,7457,313
649,Facebook,2025-04-28,https://smith-day.com/,Down effect support scientist note.,63841,979,4003
858,Facebook,2025-06-28,https://hayes.net/,Tough central enter.,201196,180,3284
689,Twitter,2025-05-01,http://www.harris.com/,Anything newspaper main product bag south per.,24605,5147,3992
603,Instagram,2025-06-10,https://walker-thompson.com/,Throughout environmental itself stock.,110957,8707,4215
127,YouTube,2025-04-09,http://www.duncan.net/,Unit left central foot toward involve blue.,53551,9935,4851
791,Facebook,2025-04-02,http://www.lamb.biz/,Factor fear drop east.,237665,15584,4006
914,Facebook,2025-03-04,https://blake.com/,Possible far field foot later local home.,270286,4169,1909
462,Instagram,2025-05-27,https://holmes-nelson.com/,Ten theory standard free why community however memory.,18073,9526,507
469,YouTube,2025-05-18,https://www.morrison.net/,Begin range specific agree decade seek.,258054,13769,4337
675,Twitter,2025-02-19,http://www.hale.com/,Hear pay score dinner fire.,267172,5977,165
604,YouTube,2025-02-09,https://www.graham.org/,Few cold less pick.,85781,16218,3467
980,Instagram,2025-07-04,https://www.gibbs-martinez.net/,Fire quality remain though.,104725,8119,4731
517,YouTube,2025-03-12,http://www.morales-pham.org/,Mother able lose citizen.,183318,1032,2597
138,YouTube,2025-06-27,https://andrews-moore.com/,Growth sure official apply growth think paper.,258478,4011,4542
987,Instagram,2025-04-04,http://montes-warren.com/,Collection recognize protect whose home figure.,279531,9183,530
511,Twitter,2025-03-04,http://www.richards.info/,Sister agreement free there door.,167717,16256,2204
5,YouTube,2025-02-21,http://www.murray.com/,Forward public house especially various while economic now.,176619,2286,3427
544,Instagram,2025-06-17,https://erickson.com/,Part claim exist executive whole.,80127,19724,3887
754,YouTube,2025-02-24,http://www.brown-vega.com/,School get official after.,56512,11954,967
50,Instagram,2025-04-10,http://mccoy.net/,Remember role enter pull.,275609,19140,4063
567,Twitter,2025-05-07,http://anderson.com/,Sport job government bag create three research.,74582,15844,2850
958,Facebook,2025-05-23,https://lee.com/,Country decade suffer room anything.,112577,18632,3682
444,Twitter,2025-02-06,http://www.brown.org/,Interesting entire animal how industry focus almost.,24164,14389,3583
859,Facebook,2025-04-19,http://www.cunningham.com/,Scientist reduce kitchen often hit stop.,245841,8551,180
600,Facebook,2025-01-31,https://mccarthy.com/,Himself art activity white.,208207,15698,1331
495,YouTube,2025-06-07,https://www.phillips.com/,Significant prove different firm point some.,278859,4018,2369
947,Instagram,2025-02-28,http://www.stone.com/,Nor pay interview simply how maintain seat.,65731,12329,1584
521,Instagram,2025-02-09,http://www.bautista.com/,Policy investment decision someone worker.,7154,16894,3854
800,Instagram,2025-02-02,https://brown.info/,Color add rather television close culture.,168043,18950,2826
944,Twitter,2025-05-26,http://mcdaniel.com/,President each easy play over live agreement.,28084,674,3599
933,Twitter,2025-06-13,https://glass.info/,Claim anything show wide necessary security.,50652,8604,1911
182,Twitter,2025-01-21,http://www.hayes.com/,Space top imagine fish up real cup.,179739,5436,4168
709,Twitter,2025-07-01,https://www.morrison-johnson.com/,Down night establish.,249777,19159,1809
593,YouTube,2025-02-24,https://williams-smith.com/,Decide fly among do voice seven.,29190,2017,4824
178,YouTube,2025-06-07,http://meza.com/,Data something find goal area ever sometimes.,59055,4888,2788
749,Facebook,2025-02-06,https://thomas-walker.com/,Argue half although show old go single.,277932,10575,4942
835,Facebook,2025-05-25,https://www.best.com/,Ten trouble issue matter interest.,168829,15207,3847
132,Instagram,2025-07-03,https://www.alexander-garcia.net/,Require result move.,16786,4539,1084
107,Twitter,2025-02-09,https://moore.info/,One range home as.,168652,11810,2413
397,YouTube,2025-04-13,https://www.martin.com/,Work myself moment material read.,115019,5451,3207
674,Facebook,2025-06-08,https://www.nguyen.com/,Tree ok else bring.,173233,1833,3424
615,Instagram,2025-02-17,https://www.miller.com/,Recently weight movement north.,110148,9034,2961
621,Instagram,2025-03-01,http://www.scott.com/,From argue degree after out.,105949,11934,3879
904,Twitter,2025-05-18,http://khan.com/,Man sign determine series law process while rest.,155243,13846,1337
330,Twitter,2025-04-20,https://www.camacho.biz/,Artist food subject throw television own.,150044,11764,1707
517,Instagram,2025-05-13,https://rogers-parker.com/,Authority son age movement entire than.,284065,1696,2323
903,Twitter,2025-03-09,https://www.brown.org/,Big store around one become.,172326,9598,716
394,Twitter,2025-02-27,http://davis.com/,Article property computer change fly help between institution.,236271,9657,3965
429,Facebook,2025-02-17,http://smith.info/,Style which finally place already realize.,66682,17454,1067
624,Facebook,2025-02-06,https://www.kemp-moss.com/,Student wife most career against.,147949,2617,1429
938,Facebook,2025-05-12,http://www.perkins.org/,Threat example child lead say.,83287,16938,1644
710,YouTube,2025-04-22,https://www.morgan.org/,Financial decision coach.,87573,6450,1290
781,Twitter,2025-07-06,https://www.kelley.com/,Without specific establish service pretty.,148464,6104,4972
255,Facebook,2025-04-12,http://www.cole.com/,Upon attack draw morning group guess.,65010,3196,4041
281,Facebook,2025-03-04,http://walker.com/,Lawyer enter memory.,12998,19720,836
408,Instagram,2025-07-06,http://morris.org/,Break must college choose occur money.,298405,5576,3417
987,Facebook,2025-07-07,https://www.carter.biz/,Image despite line future hair.,274515,17916,4054
352,Instagram,2025-02-11,https://www.pham-reilly.com/,Change spring speech make low fish three.,58674,10671,2497
994,Twitter,2025-02-06,http://curtis-castillo.biz/,Detail your improve laugh customer decide season thus.,113306,10461,1932
302,Instagram,2025-02-12,http://archer.biz/,House stuff assume would more positive history.,289441,9965,1725
464,Facebook,2025-05-25,https://ray.net/,Market good time within best responsibility eye close.,188667,8995,4571
825,YouTube,2025-02-22,http://www.carter.biz/,Someone reflect position show.,293025,11979,395
137,YouTube,2025-06-10,https://smith.com/,Bit whose name weight add.,171977,3240,158
142,Twitter,2025-03-29,http://www.jefferson.net/,Everyone be loss particularly.,147109,17611,2949
423,Facebook,2025-02-12,http://rivers.com/,Care how some to ok.,79216,19106,2146
617,Twitter,2025-05-04,http://www.gonzalez.com/,However teach quality think about represent ground.,153513,11622,2934
717,Instagram,2025-05-26,http://hall.info/,Reduce player into simple answer hospital visit.,133358,4809,1309
908,Twitter,2025-07-05,https://reese.com/,Dog body up bill degree next college compare.,94797,522,1441
767,YouTube,2025-04-03,https://www.greene.com/,Together moment form do option.,42351,4587,4134
525,Twitter,2025-02-12,https://www.garcia.com/,Appear almost career community.,168251,17079,271
307,Instagram,2025-04-15,https://www.raymond.com/,Office sign yard realize know.,182596,9321,531
864,Facebook,2025-06-29,http://taylor.com/,Type improve kid style beautiful role more.,288418,12322,2776
719,Twitter,2025-07-10,https://fox-gross.com/,Hour feel himself actually rich watch as lawyer.,237599,15989,3537
561,Instagram,2025-05-30,https://www.patel.com/,Standard science character fly realize.,31595,13600,943
882,YouTube,2025-05-07,http://www.richard.com/,Build behavior strategy view across full.,73196,11251,1867
322,Facebook,2025-06-25,https://www.rojas.com/,Notice lawyer effort create while model show.,20200,5442,998
729,Twitter,2025-03-09,http://www.strong.info/,Local save indicate difficult these.,251801,3456,4613
755,Twitter,2025-03-25,https://www.smith.com/,Structure bed speech such.,31453,7239,1845
958,YouTube,2025-06-02,https://www.johnston.info/,Strategy arrive president hour.,60536,5164,3994
567,Twitter,2025-02-22,https://www.harris.com/,Two skill firm under authority.,206116,16594,2122
648,YouTube,2025-05-26,https://www.harris.com/,Put table traditional over hand thousand.,33206,7345,2797
223,YouTube,2025-04-16,https://howell.net/,Why our peace site might sing certain Congress.,50151,6274,2920
206,Facebook,2025-05-19,http://hunter-murray.com/,Political happen media study partner.,228590,18406,392
215,YouTube,2025-06-23,http://kirby-rivera.biz/,Draw show hope my plan ahead go.,210477,17324,4573
640,YouTube,2025-06-29,https://martin.net/,Bed everyone each of a hair nature behavior.,98838,17535,2201
732,YouTube,2025-02-01,https://mcclure.info/,Herself report hope option truth capital mother.,238746,18158,1248
298,Twitter,2025-01-20,https://www.adams.com/,Level new about sort right condition.,191449,3834,4232
704,YouTube,2025-02-19,http://www.cain-hendricks.com/,Cell wear gun walk.,168808,13775,4960
354,YouTube,2025-02-20,https://www.lynch.com/,Walk voice share score owner discuss traditional.,179237,15189,863
944,YouTube,2025-01-22,https://www.wilkinson.info/,Own thought whatever get shake skin boy.,108886,2603,423
689,YouTube,2025-07-10,https://www.shannon.net/,Window lay paper general leave.,284699,3919,3596
136,Twitter,2025-05-24,http://manning.com/,Health wind decision thousand low court imagine think.,46180,4400,3754
728,YouTube,2025-07-16,https://gillespie.com/,Wide seem majority grow true summer chance.,249158,669,918
666,Instagram,2025-04-21,https://johnson.org/,Leave house commercial politics concern federal phone.,74098,15812,877
999,Instagram,2025-05-23,http://campbell-whitaker.net/,Final guess hospital go sort sort other.,53714,11510,844
982,Instagram,2025-04-09,https://griffith.org/,Since owner start term involve approach then.,250511,10309,4617
183,Facebook,2025-04-20,https://miller-barnes.info/,Could level long federal candidate authority whatever.,55993,11980,353
516,Instagram,2025-04-28,http://hernandez.com/,Have thousand political land build.,243857,4655,4165
556,Instagram,2025-06-27,https://cantu.com/,Truth industry including give.,167734,14581,873
711,Facebook,2025-05-15,https://www.mcneil.com/,Three threat arrive edge interest how stand.,249001,19683,1378
653,Twitter,2025-04-05,http://ramirez-fuentes.com/,Apply role every available Mr it.,251701,17241,977
331,Twitter,2025-06-18,http://www.maynard.org/,Could garden before whose simply dream public road.,126474,11308,1692
728,Facebook,2025-04-27,http://www.morris-rogers.info/,Prepare newspaper hope or again tend create.,122332,5742,2972
119,Twitter,2025-05-15,https://www.stone.com/,Sell family step type.,80351,10083,1296
780,Facebook,2025-02-27,http://frazier.biz/,Tree movement move forward half wrong.,140293,1042,2403
361,YouTube,2025-05-23,https://www.campbell-stanton.biz/,Past pretty suggest attack.,195552,3986,3626
576,Twitter,2025-05-19,https://www.campbell.com/,Require Mr design job need season tax.,210561,7386,4154
492,Facebook,2025-02-03,https://boyd.biz/,Another agent tend room factor save like.,101129,4317,4092
597,YouTube,2025-05-16,https://www.williamson.com/,Music people mission exactly rest.,178186,4764,823
585,YouTube,2025-05-17,http://www.french-wilson.org/,Among through hospital turn.,175268,7524,1273
966,Instagram,2025-01-27,http://hunt.info/,Play quality position address.,242650,10173,2989
684,Facebook,2025-02-22,http://klein.net/,Song leader resource.,260593,4207,2751
728,Facebook,2025-06-28,http://johnston.com/,Cold economy color western exactly that.,20867,6976,1138
428,Instagram,2025-03-29,http://www.davis.com/,Process like dog remember.,39270,4366,1017
691,Twitter,2025-03-13,https://allen.com/,Effort why capital city require according traditional.,254212,2675,1663
766,Facebook,2025-02-21,https://www.reed.info/,Total house approach interesting watch president beat.,64185,14020,3607
916,YouTube,2025-06-01,http://rich.com/,Task suddenly television something newspaper.,189256,3760,3415
